TRANSID,EFFORTID,Date,SITE,TRANSECT,TYPE
55762,12167,15-Feb-15,NWFN,M,NTL
55742,12162,15-Feb-15,NWFN,M,NTL
56494,12335,07-Apr-15,NWFN,N,NTL
56485,12333,07-Apr-15,NWFN,N,NTL
56536,12344,09-Apr-15,NWFN,O,NTL
56524,12343,09-Apr-15,NWFN,O,NTL
56573,12353,12-Apr-15,NWFN,P,NTL
56570,12352,12-Apr-15,NWFN,P,NTL
56484,12332,07-Apr-15,NWFN,Q,NTL
56543,12346,07-Apr-15,NWFN,Q,NTL
56529,12344,09-Apr-15,NWFN,S,NTL
56523,12343,09-Apr-15,NWFN,S,NTL
56571,12353,12-Apr-15,NWFN,T,NTL
56568,12352,12-Apr-15,NWFN,T,NTL
56488,12332,07-Apr-15,NWFN,U,NTL
56545,12346,07-Apr-15,NWFN,U,NTL
56537,12344,09-Apr-15,NWFN,V,NTL
56525,12343,09-Apr-15,NWFN,V,NTL
56575,12353,12-Apr-15,NWFN,W,NTL
56585,12352,12-Apr-15,NWFN,W,NTL
56481,12332,07-Apr-15,NWFN,Y,NTL
56541,12346,07-Apr-15,NWFN,Y,NTL
56538,12344,09-Apr-15,NWFN,Z,NTL
56526,12343,09-Apr-15,NWFN,Z,NTL
55888,12200,26-Feb-15,NWFN,A,NTL
55906,12204,26-Feb-15,NWFN,A,NTL
55321,12096,01-Feb-15,NWFN,AA,NTL
55322,12096,01-Feb-15,NWFN,AA,NTL
55372,12103,01-Feb-15,NWFN,AA,NTL
55881,12197,24-Feb-15,NWFN,C,NTL
55861,12192,24-Feb-15,NWFN,C,NTL
55674,12146,10-Feb-15,NWFN,D,TL
55635,12139,10-Feb-15,NWFN,D,TL
55892,12200,26-Feb-15,NWFN,E,NTL
55910,12204,26-Feb-15,NWFN,E,NTL
55759,12167,15-Feb-15,NWFN,F,NTL
55739,12162,15-Feb-15,NWFN,F,NTL
55883,12197,24-Feb-15,NWFN,G,NTL
55863,12192,24-Feb-15,NWFN,G,NTL
55835,12185,22-Feb-15,NWFN,I,NTL
55845,12187,22-Feb-15,NWFN,I,NTL
55686,12148,12-Feb-15,NWFN,J,TL
