TRANSID,EFFORTID,Date,SITE,TRANSECT,TYPE
55392,12105,03-Feb-15,NWFN,T,TL
55479,12115,05-Feb-15,NWFN,T,TL
55568,12123,05-Feb-15,NWFN,T,TL
55319,12096,01-Feb-15,NWFN,Z,TL
55369,12103,01-Feb-15,NWFN,Z,TL
55407,12107,03-Feb-15,NWFN,Z,TL
55393,12105,03-Feb-15,NWFN,Z,TL
55481,12115,05-Feb-15,NWFN,Z,TL
55570,12123,05-Feb-15,NWFN,Z,TL
55891,12200,26-Feb-15,NWFN,D,TL
55909,12204,26-Feb-15,NWFN,D,TL
55969,12219,03-Mar-15,NWFN,D,NTL
55983,12221,03-Mar-15,NWFN,D,NTL
56064,12237,10-Mar-15,NWFN,D,NTL
56082,12241,10-Mar-15,NWFN,D,NTL
55889,12200,26-Feb-15,NWFN,J,TL
55907,12204,26-Feb-15,NWFN,J,TL
55936,12210,01-Mar-15,NWFN,J,NTL
55948,12212,01-Mar-15,NWFN,J,NTL
56057,12236,08-Mar-15,NWFN,J,NTL
56020,12230,08-Mar-15,NWFN,J,NTL
55596,12127,08-Feb-15,NWFN,P,TL
55590,12125,08-Feb-15,NWFN,P,TL
55654,12144,10-Feb-15,NWFN,P,TL
55625,12137,10-Feb-15,NWFN,P,TL
55705,12153,12-Feb-15,NWFN,P,TL
55683,12147,12-Feb-15,NWFN,P,TL
55598,12127,08-Feb-15,NWFN,V,TL
55591,12125,08-Feb-15,NWFN,V,TL
55657,12144,10-Feb-15,NWFN,V,TL
55628,12137,10-Feb-15,NWFN,V,TL
55707,12153,12-Feb-15,NWFN,V,TL
55685,12147,12-Feb-15,NWFN,V,TL
56215,12279,19-Mar-15,NWFN,D,NTL
56223,12282,19-Mar-15,NWFN,D,NTL
56366,12307,29-Mar-15,NWFN,D,TL
56338,12301,29-Mar-15,NWFN,D,TL
56407,12314,31-Mar-15,NWFN,D,TL
56394,12312,31-Mar-15,NWFN,D,TL
56165,12265,17-Mar-15,NWFN,J,NTL
56175,12266,17-Mar-15,NWFN,J,NTL
56311,12297,26-Mar-15,NWFN,J,NTL
56319,12298,26-Mar-15,NWFN,J,NTL
56405,12314,31-Mar-15,NWFN,J,TL
56392,12312,31-Mar-15,NWFN,J,TL
55728,12160,15-Feb-15,NWFN,P,TL
55770,12169,15-Feb-15,NWFN,P,TL
55751,12165,17-Feb-15,NWFN,P,TL
55768,12168,17-Feb-15,NWFN,P,TL
55808,12179,19-Feb-15,NWFN,P,TL
55800,12176,19-Feb-15,NWFN,P,TL
55733,12160,15-Feb-15,NWFN,V,TL
55775,12169,15-Feb-15,NWFN,V,TL
55745,12165,17-Feb-15,NWFN,V,TL
55764,12168,17-Feb-15,NWFN,V,TL
55806,12179,19-Feb-15,NWFN,V,TL
55798,12176,19-Feb-15,NWFN,V,TL
56430,12319,02-Apr-15,NWFN,D,TL
56414,12316,02-Apr-15,NWFN,D,TL
56446,12322,05-Apr-15,NWFN,D,NTL
56468,12326,05-Apr-15,NWFN,D,NTL
56517,12342,09-Apr-15,NWFN,D,NTL
56531,12345,09-Apr-15,NWFN,D,NTL
56437,12319,02-Apr-15,NWFN,J,TL
56432,12316,02-Apr-15,NWFN,J,TL
56447,12322,05-Apr-15,NWFN,J,NTL
56466,12326,05-Apr-15,NWFN,J,NTL
56493,12335,07-Apr-15,NWFN,J,NTL
56483,12333,07-Apr-15,NWFN,J,NTL
55857,12191,22-Feb-15,NWFN,P,TL
55849,12188,22-Feb-15,NWFN,P,TL
55871,12193,24-Feb-15,NWFN,P,TL
55879,12196,24-Feb-15,NWFN,P,TL
55917,12205,26-Feb-15,NWFN,P,TL
55923,12206,26-Feb-15,NWFN,P,TL
55859,12191,22-Feb-15,NWFN,V,TL
55851,12188,22-Feb-15,NWFN,V,TL
55869,12193,24-Feb-15,NWFN,V,TL
55877,12196,24-Feb-15,NWFN,V,TL
55914,12205,26-Feb-15,NWFN,V,TL
55920,12206,26-Feb-15,NWFN,V,TL
56113,12252,12-Mar-15,NWFN,F,TL
56128,12257,12-Mar-15,NWFN,F,TL
56163,12265,17-Mar-15,NWFN,F,TL
56169,12266,17-Mar-15,NWFN,F,TL
56214,12279,19-Mar-15,NWFN,F,TL
56222,12282,19-Mar-15,NWFN,F,TL
56119,12252,12-Mar-15,NWFN,L,TL
56133,12257,12-Mar-15,NWFN,L,TL
56166,12265,17-Mar-15,NWFN,L,TL
56176,12266,17-Mar-15,NWFN,L,TL
56212,12279,19-Mar-15,NWFN,L,TL
56220,12282,19-Mar-15,NWFN,L,TL
55944,12211,01-Mar-15,NWFN,R,TL
55962,12216,01-Mar-15,NWFN,R,TL
55975,12220,03-Mar-15,NWFN,R,TL
56014,12229,03-Mar-15,NWFN,R,TL
56087,12243,05-Mar-15,NWFN,R,TL
56001,12224,05-Mar-15,NWFN,R,TL
55946,12211,01-Mar-15,NWFN,X,TL
55964,12216,01-Mar-15,NWFN,X,TL
55981,12220,03-Mar-15,NWFN,X,TL
56024,12229,03-Mar-15,NWFN,X,TL
56085,12243,05-Mar-15,NWFN,X,TL
55999,12224,05-Mar-15,NWFN,X,TL
56237,12286,22-Mar-15,NWFN,F,TL
56243,12287,22-Mar-15,NWFN,F,TL
56307,12297,26-Mar-15,NWFN,F,NTL
56315,12298,26-Mar-15,NWFN,F,NTL
56409,12314,31-Mar-15,NWFN,F,NTL
56396,12312,31-Mar-15,NWFN,F,NTL
56238,12286,22-Mar-15,NWFN,L,TL
56244,12287,22-Mar-15,NWFN,L,TL
56301,12296,24-Mar-15,NWFN,L,NTL
56274,12292,24-Mar-15,NWFN,L,NTL
56457,12322,05-Apr-15,NWFN,L,NTL
56469,12326,05-Apr-15,NWFN,L,NTL
56041,12234,08-Mar-15,NWFN,R,TL
56013,12228,08-Mar-15,NWFN,R,TL
56107,12251,10-Mar-15,NWFN,R,TL
56093,12246,10-Mar-15,NWFN,R,TL
56123,12254,12-Mar-15,NWFN,R,TL
56103,12248,12-Mar-15,NWFN,R,TL
56044,12234,08-Mar-15,NWFN,X,TL
56026,12228,08-Mar-15,NWFN,X,TL
56112,12251,10-Mar-15,NWFN,X,TL
56097,12246,10-Mar-15,NWFN,X,TL
56122,12254,12-Mar-15,NWFN,X,TL
56102,12248,12-Mar-15,NWFN,X,TL
56495,12335,07-Apr-15,NWFN,F,TL
56486,12333,07-Apr-15,NWFN,F,TL
56520,12342,09-Apr-15,NWFN,F,TL
56534,12345,09-Apr-15,NWFN,F,TL
56582,12354,12-Apr-15,NWFN,F,TL
56565,12351,12-Apr-15,NWFN,F,TL
56499,12335,07-Apr-15,NWFN,L,TL
56490,12333,07-Apr-15,NWFN,L,TL
56516,12342,09-Apr-15,NWFN,L,TL
56530,12345,09-Apr-15,NWFN,L,TL
56581,12354,12-Apr-15,NWFN,L,TL
56564,12351,12-Apr-15,NWFN,L,TL
56178,12267,17-Mar-15,NWFN,R,TL
56185,12268,17-Mar-15,NWFN,R,TL
56202,12277,19-Mar-15,NWFN,R,TL
56208,12278,19-Mar-15,NWFN,R,TL
56262,12290,22-Mar-15,NWFN,R,TL
56252,12288,22-Mar-15,NWFN,R,TL
56170,12267,17-Mar-15,NWFN,X,TL
56181,12268,17-Mar-15,NWFN,X,TL
56200,12277,19-Mar-15,NWFN,X,TL
56206,12278,19-Mar-15,NWFN,X,TL
56260,12290,22-Mar-15,NWFN,X,TL
56250,12288,22-Mar-15,NWFN,X,TL
