Week,With lures,Without lures
1,1.666666667,1.446280992
2,1.136363636,1.086956522
3,0.568181818,0.889328063
4,2.083333333,1.581027668
5,1.325757576,1.778656126
6,2.083333333,0.988142292
7,2.272727273,0.974025974
8,2.5,1.515151515
9,1.515151515,1.767676768
